AN00,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,AN13,AN14,AN15,AN16,AN17,AN18,AN19,AN20,AN21,AN22,AN23,AN24,AN25,AN26,AN27,AN28,AN29,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,BN00,BN01,BN02,BN03,BN04,BN05,BN06,BN07,BN08,BN09,BN10,BN11,BN12,BN13,BN14,BN15,BN16,BN17,BN18,BN19,BN20,BN21,BN22,BN23,BN24,BN25,BN26,BN27,BN28,BN29,Detector,sm,ADCSUM,MXmax,MXavg,MXRatio,Amax,Aavg,ARatio,Bmax,Bavg,BRatio,Asum,MXsum,Bsum
49,91,72,53,45,39,31,27,27,24,22,23,19,19,18,16,19,16,16,15,16,15,12,13,14,13,13,14,12,12,24,48,40,34,43,38,31,31,39,44,35,30,29,26,34,35,40,60,60,51,40,32,28,25,21,20,20,19,19,16,9,8,9,13,11,10,11,11,12,12,9,11,15,13,17,20,30,57,63,55,44,32,26,24,20,19,19,19,18,15,187,6,2419,60,33.733333333333334,0.5622222222222223,91,25.833333333333332,0.2838827838827839,63,21.066666666666666,0.3343915343915344,775,1012,632
19,24,22,19,13,15,16,14,15,11,13,12,12,11,13,12,12,12,13,11,8,11,11,9,10,11,11,10,8,12,24,33,28,23,19,25,26,25,19,21,23,26,24,21,20,28,27,23,22,20,21,18,18,14,16,14,13,14,13,12,13,11,10,9,11,11,12,12,11,10,11,14,10,12,13,18,15,19,16,16,16,16,16,14,16,12,14,11,12,12,410,13,1413,33,21.0,0.6363636363636364,24,13.0,0.5416666666666666,19,13.1,0.6894736842105263,390,630,393
13,18,20,20,17,14,16,13,12,11,12,11,11,12,13,11,13,10,11,11,10,10,11,12,9,12,9,11,12,11,12,31,48,43,37,33,29,28,25,26,27,30,31,29,29,28,27,22,19,23,24,25,21,22,17,18,18,14,14,13,11,13,11,13,12,11,10,13,11,12,14,16,17,14,14,17,18,16,18,19,24,25,26,22,20,17,15,15,15,14,497,16,1612,48,25.433333333333334,0.5298611111111111,20,12.533333333333333,0.6266666666666667,26,15.766666666666667,0.6064102564102565,376,763,473
20,35,30,26,22,21,19,19,17,17,15,13,17,14,19,13,12,13,12,12,11,14,11,10,11,10,11,9,12,11,26,42,41,37,34,38,39,39,36,35,43,53,52,47,38,32,27,23,22,22,19,18,19,18,16,13,14,14,12,15,11,11,14,12,12,9,13,14,16,15,19,25,26,24,23,19,15,16,13,14,15,13,12,13,9,11,13,12,11,11,535,17,1801,53,29.466666666666665,0.5559748427672956,35,15.866666666666667,0.45333333333333337,26,14.7,0.5653846153846154,476,884,441
17,43,55,38,23,20,20,15,17,13,18,26,31,35,30,25,19,20,17,15,13,16,15,14,12,11,14,12,13,14,34,56,51,64,54,41,33,32,31,32,32,30,31,34,33,32,51,104,106,85,64,50,54,54,46,47,46,42,35,31,10,12,15,20,19,21,18,19,20,24,22,23,22,17,17,14,13,16,11,12,11,13,11,12,12,12,11,12,11,11,129,4,2527,106,47.833333333333336,0.45125786163522014,55,21.033333333333335,0.38242424242424244,24,15.366666666666667,0.6402777777777778,631,1435,461
17,29,26,27,23,19,18,14,16,12,14,12,12,12,15,11,12,9,10,11,11,11,13,12,12,11,10,8,11,12,11,15,27,55,57,41,32,26,32,46,53,47,36,31,27,23,22,19,20,19,19,16,18,15,14,12,14,14,12,12,17,30,34,38,33,33,34,36,34,31,28,25,28,26,23,20,20,17,17,16,15,16,15,14,14,12,14,15,13,11,258,8,1894,57,26.166666666666668,0.4590643274853801,29,14.333333333333334,0.4942528735632184,38,22.633333333333333,0.5956140350877193,430,785,679
16,21,24,25,41,59,50,39,33,32,29,30,33,38,36,36,38,39,47,88,107,83,57,43,34,32,29,27,26,23,9,10,10,12,11,12,12,12,13,12,13,12,15,18,20,24,31,34,53,152,203,149,95,66,52,44,39,36,34,32,9,8,9,11,10,9,10,8,10,12,12,11,10,8,10,8,12,11,11,17,19,16,16,13,12,12,10,11,10,11,459,15,2786,203,41.166666666666664,0.20279146141215107,107,40.5,0.37850467289719625,19,11.2,0.5894736842105263,1215,1235,336
15,29,27,23,20,18,18,18,18,19,17,14,14,14,13,13,14,15,12,10,12,13,11,10,11,11,10,11,10,9,26,64,66,52,52,47,54,85,113,97,79,65,59,56,50,46,41,39,36,35,31,33,30,26,24,22,21,22,20,17,13,14,14,14,13,17,17,26,40,37,33,34,34,31,30,35,38,39,47,47,58,69,56,43,34,29,27,21,22,21,459,15,2810,113,46.93333333333333,0.4153392330383481,29,14.966666666666667,0.5160919540229885,69,31.766666666666666,0.4603864734299517,449,1408,953
22,44,41,47,43,35,29,26,20,19,18,18,16,16,15,13,17,15,11,13,13,14,12,12,13,12,11,12,10,13,25,42,48,97,97,74,68,56,49,50,51,43,37,37,38,37,35,31,33,32,30,35,39,41,36,30,25,23,23,18,10,9,12,13,14,13,14,13,12,14,14,13,14,14,15,14,18,17,20,22,27,42,64,66,54,41,32,25,24,20,71,2,2560,97,42.666666666666664,0.43986254295532645,47,20.0,0.425531914893617,66,22.666666666666668,0.3434343434343434,600,1280,680
17,20,15,17,14,15,16,13,15,13,13,17,19,21,15,16,16,15,14,13,12,13,11,12,11,14,12,13,11,11,17,25,20,22,22,25,25,27,24,28,35,52,76,66,55,47,43,38,43,51,46,39,30,27,24,23,21,19,19,19,9,13,10,13,11,12,12,13,10,12,14,19,22,21,17,19,17,17,21,25,24,20,18,15,15,15,15,14,12,13,72,2,1910,76,33.6,0.4421052631578948,21,14.466666666666667,0.6888888888888889,25,15.6,0.624,434,1008,468
